"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2021","1,725.49","1,726.45","1,727.03","1,724.37","","-0.03%"
"12/03/2021","1,726.05","1,728.01","1,728.89","1,724.17","","-0.14%"
"12/02/2021","1,728.47","1,727.65","1,728.64","1,726.16","","-0.02%"
"12/01/2021","1,728.73","1,728.70","1,731.24","1,726.54","","0.30%"
"11/30/2021","1,723.61","1,721.74","1,729.07","1,721.74","","0.18%"
"11/29/2021","1,720.59","1,718.56","1,721.84","1,718.53","","0.06%"
"11/26/2021","1,719.56","1,724.06","1,724.07","1,717.16","","-0.31%"
"11/25/2021","1,724.83","1,723.69","1,725.05","1,723.22","","-0.01%"
"11/24/2021","1,725.02","1,725.72","1,726.95","1,722.73","","0.05%"
"11/23/2021","1,724.16","1,725.97","1,727.14","1,722.46","","-0.25%"
"11/22/2021","1,728.47","1,728.24","1,729.66","1,725.36","","-0.11%"
"11/19/2021","1,730.33","1,731.35","1,732.29","1,726.94","","-0.11%"
"11/18/2021","1,732.15","1,734.11","1,735.23","1,728.81","","-0.08%"
"11/17/2021","1,733.48","1,731.10","1,735.09","1,729.31","","0.14%"
"11/16/2021","1,731.10","1,731.10","1,731.11","1,731.10","","-0.29%"
"11/15/2021","1,736.18","1,735.68","1,737.42","1,734.59","","0.09%"
"11/12/2021","1,734.57","1,734.03","1,737.23","1,733.04","","-0.04%"
"11/11/2021","1,735.18","1,733.69","1,737.30","1,731.10","","-0.03%"
"11/10/2021","1,735.78","1,738.74","1,739.89","1,733.37","","-0.19%"
"11/09/2021","1,739.16","1,735.16","1,740.25","1,733.30","","0.23%"
"11/08/2021","1,735.15","1,735.16","1,735.17","1,735.15","","0.19%"
"11/05/2021","1,731.91","1,729.62","1,734.12","1,728.23","","0.05%"
"11/04/2021","1,731.09","1,731.77","1,732.40","1,728.70","","0.12%"
"11/03/2021","1,729.05","1,728.32","1,731.35","1,725.57","","-0.04%"
"11/02/2021","1,729.66","1,728.54","1,729.86","1,728.13","","0.05%"
"11/01/2021","1,728.72","1,730.42","1,730.65","1,727.92","","-0.22%"
"10/29/2021","1,732.50","1,735.37","1,735.49","1,728.73","","-0.06%"
"10/28/2021","1,733.60","1,734.08","1,735.84","1,732.21","","-0.03%"
"10/27/2021","1,734.06","1,738.76","1,738.88","1,733.03","","-0.21%"
"10/26/2021","1,737.70","1,736.92","1,740.40","1,736.31","","0.07%"
"10/25/2021","1,736.52","1,732.96","1,737.33","1,732.63","","0.27%"
"10/22/2021","1,731.77","1,731.19","1,734.76","1,730.08","","-0.01%"
"10/21/2021","1,731.94","1,734.89","1,735.46","1,730.31","","-0.17%"
"10/20/2021","1,734.90","1,734.92","1,735.75","1,732.12","","0.18%"
"10/19/2021","1,731.77","1,725.93","1,735.45","1,725.74","","0.42%"
"10/18/2021","1,724.45","1,728.14","1,728.20","1,723.73","","-0.19%"
"10/15/2021","1,727.68","1,725.33","1,728.62","1,724.28","","0.26%"
"10/14/2021","1,723.13","1,723.45","1,724.79","1,721.42","","0.27%"
"10/13/2021","1,718.45","1,716.05","1,723.07","1,716.02","","0.19%"
"10/12/2021","1,715.24","1,716.32","1,717.13","1,713.85","","-0.21%"
"10/11/2021","1,718.92","1,718.54","1,720.69","1,716.11","","-0.01%"
"10/08/2021","1,719.12","1,720.56","1,721.19","1,717.38","","-0.07%"
"10/07/2021","1,720.36","1,720.38","1,722.76","1,719.86","","0.15%"
"10/06/2021","1,717.73","1,723.12","1,723.13","1,716.28","","-0.21%"
"10/05/2021","1,721.27","1,723.20","1,723.69","1,721.27","","-0.07%"
"10/04/2021","1,722.44","1,728.23","1,728.37","1,722.44","","-0.08%"
"10/01/2021","1,723.78","1,723.52","1,728.30","1,721.53","","0.09%"
"09/30/2021","1,722.26","1,720.08","1,725.66","1,719.76","","-0.01%"
"09/29/2021","1,722.51","1,722.90","1,724.11","1,718.85","","-0.10%"
"09/28/2021","1,724.22","1,728.81","1,728.81","1,721.68","","-0.28%"
"09/27/2021","1,729.11","1,728.16","1,730.91","1,726.92","","0.02%"
"09/24/2021","1,728.80","1,731.35","1,731.93","1,726.03","","-0.18%"
"09/23/2021","1,731.87","1,728.70","1,734.22","1,726.41","","0.11%"
"09/22/2021","1,729.90","1,727.88","1,731.01","1,726.68","","-0.03%"
"09/21/2021","1,730.35","1,726.28","1,730.35","1,725.53","","0.03%"
"09/20/2021","1,729.76","1,728.64","1,729.76","1,724.02","","-0.13%"
"09/17/2021","1,731.99","1,733.20","1,735.31","1,727.95","","-0.20%"
"09/16/2021","1,735.49","1,740.72","1,740.82","1,732.71","","-0.17%"
"09/15/2021","1,738.36","1,737.37","1,740.40","1,735.64","","0.07%"
"09/14/2021","1,737.17","1,737.73","1,740.02","1,736.41","","0.05%"
"09/13/2021","1,736.24","1,737.84","1,737.84","1,733.89","","-0.15%"
"09/10/2021","1,738.80","1,737.18","1,741.84","1,735.51","","0.17%"
"09/09/2021","1,735.80","1,733.24","1,737.02","1,732.18","","0.10%"
"09/08/2021","1,734.03","1,738.41","1,738.42","1,732.78","","-0.32%"
"09/07/2021","1,739.62","1,742.57","1,742.64","1,736.46","","-0.16%"
"09/06/2021","1,742.41","1,742.07","1,742.65","1,740.78","","0.05%"
"09/03/2021","1,741.61","1,739.78","1,744.86","1,738.79","","0.14%"
"09/02/2021","1,739.26","1,739.42","1,740.90","1,737.42","","-0.01%"
"09/01/2021","1,739.42","1,738.58","1,740.20","1,736.99","","0.03%"
"08/31/2021","1,738.96","1,732.41","1,740.51","1,731.96","","0.36%"
